Name,Icon (Male),Icon (Female),Equip Slot,Info,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Passive Effect
Errant Sorcerer Robe,,-,Body,Cape worn by a great sorcerer turned hermit,"Commonplace robe made of thick cloth. Worn by the Errant Sorcerer Wilhelm, one of the first Tarnished to visit Roundtable Hold. A silent seeker of sorcery, who had gone so far as to make contact with the primeval current, Wilhelm was led by guidance into confrontation with his friend Vargram, and it is said that he was then taken prisoner in Roundtable Hold.",4.1,4.2,4.2,6.1,4.2,13.0,12.6,12.4,13.0,35,23,-,67,-,71,2,500,Purple,Yes,990100,99,0100,14661,14661,1,20,601060,-1,-1,-1,
Errant Sorcerer Robe (Altered),,-,Body,Tunic worn by a great sorcerer turned hermit,"Commonplace robe made of thick cloth. Worn by the Errant Sorcerer Wilhelm, one of the first Tarnished to visit Roundtable Hold. A silent seeker of sorcery, who had gone so far as to make contact with the primeval current, Wilhelm was led by guidance into confrontation with his friend Vargram, and it is said that he was then taken prisoner in Roundtable Hold.",3.2,2.7,2.7,5.3,2.7,12.8,12.4,11.9,12.8,31,20,-,62,-,66,1,500,Purple,Yes,991100,99,1100,14671,14671,1,20,601070,-1,-1,-1,
Spellblade's Traveling Attire,,-,Body,Glintstone sorcerer Rogier's cape,"Glintstone sorcerer Rogier's traveling attire, graced with an intricate, aristocratic decoration. Strengthens glintstone sorcery skills. Rogier spent his entire life behaving with utter detachment. No one noticed the anger, grief, regret, or fear that existed along with it.",3.3,4.1,2.6,4.1,4.1,12.7,11.3,11.8,12.7,35,17,-,59,-,63,1,200,Purple,Yes,130100,13,0100,13111,13111,1,20,601080,6013010,-1,-1,
Spellblade's Traveling Attire (Altered),,-,Body,Glintstone sorcerer Rogier's vest,"Glintstone sorcerer Rogier's traveling attire, graced with an intricate, aristocratic decoration. Strengthens glintstone sorcery skills. Rogier spent his entire life behaving with utter detachment. No one noticed the anger, grief, regret, or fear that existed along with it.",2.5,2.6,0.5,2.6,2.6,12.6,10.9,11.4,12.6,32,10,-,54,-,57,0,200,Purple,Yes,131100,13,1100,13121,13121,1,20,601090,6013110,-1,-1,
Alberich's Robe,,-,Body,Robe of a defected glintstone sorcerer,"Mad Tongue Alberich's robe. Set with red glintstones, said to be formed by the blood of sacrifices. Strengthens thorn sorcery. Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",4.1,5.3,4.2,5.3,5.3,12.8,11.9,12.4,12.8,38,23,-,67,-,71,1,200,White,Yes,120100,12,0100,13091,13091,1,20,601100,6012010,-1,-1,
Alberich's Robe (Altered),,-,Body,Tunic of a defected glintstone sorcerer,Mad Tongue Alberich's robe. Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.,3.2,4.2,2.7,4.2,4.2,12.6,11.4,11.9,12.6,32,19,-,57,-,61,0,200,White,Yes,121100,12,1100,13101,13101,1,20,601110,-1,-1,-1,
Preceptor's Long Gown,,-,Body,Gown worn by ruthless Chaplains,"A long, bright blue gown with the movements of the stars drawn upon it. Worn by the magic preceptors who served the Carian royals. Glintstone sorcerers are the descendants of astrologers, a fact that the Carians remain aware of. Even if their fate has been long severed from the stars.",6.3,6.1,6.7,6.1,6.1,14.5,13.3,12.8,12.8,50,24,-,83,-,76,3,200,White,Yes,910100,91,0100,14501,14501,1,20,601120,-1,-1,-1,
Preceptor's Long Gown (Altered),,-,Body,Vest worn by ruthless Chaplains,"Modest garb, previously worn under a long, bright blue gown with the movements of the stars drawn upon it.",3.2,4.2,4.2,2.7,4.2,12.8,12.4,11.9,12.4,38,16,-,57,-,57,0,200,White,Yes,911100,91,1100,14511,14511,1,20,601130,-1,-1,-1,
Azur's Glintstone Robe,,-,Body,Blue transparent robe of a Crystal Sorcerer,"A robe reserved for grand masters at the Academy of Raya Lucaria. Corroded by blue-green glintstones. Since the grand masters Azur and Lusat were driven from the academy, no one has achieved their formerly-held rank.",7.1,7.1,6.1,6.7,6.7,15.4,12.8,13.0,13.8,50,28,-,99,-,83,3,1000,White,Yes,581100,58,1100,13851,13851,1,20,601140,-1,-1,-1,
Lusat's Robe,,-,Body,Dull red robe of a Crystal Sorcerer,"A robe reserved for grand masters at the Academy of Raya Lucaria. Corroded by blue glintstones. Since the grand masters Azur and Lusat were driven from the academy, no one has achieved their formerly-held rank.",7.1,8.0,6.1,8.0,6.1,15.4,12.8,13.3,13.5,50,25,-,83,-,99,3,1000,Purple,Yes,580100,58,0100,13841,13841,1,20,601150,-1,-1,-1,
Queen's Robe,,-,Body,"Robe of Rennala, the Full Moon Witch","Robe indicating the highest order of sorcerer. Worn by Rennala, Queen of the Full Moon. When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him. And then, those at the academy realized. That Rennala was no champion, after all.",5.1,6.1,5.3,5.3,4.2,13.8,12.6,12.8,13.3,42,25,-,71,-,83,2,2000,Purple,Yes,510100,51,0100,13711,13711,1,20,601160,-1,-1,-1,
Snow Witch Robe,,-,Body,Robe worn by Enchantress Ranni,"Witch's robe in the color of snow. Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries. It is said that the doll that houses Ranni's soul was modeled after her. That old witch was Ranni's secret mentor.",5.5,5.7,6.5,6.5,4.6,13.4,13.4,13.2,13.4,38,32,-,71,-,71,2,1000,Purple,Yes,1010100,101,0100,14741,14741,1,20,601170,-1,-1,-1,
Snow Witch Robe (Altered),,-,Body,Dress worn by Enchantress Ranni,"Witch's robe in the color of snow. Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries. It is said that the doll that houses Ranni's soul was modeled after her. That old witch was Ranni's secret mentor.",4.6,4.6,5.7,5.7,3.1,13.2,13.2,13.0,13.2,32,25,-,57,-,57,0,1000,Purple,Yes,1011100,101,1100,14751,14751,1,20,601180,-1,-1,-1,
Fia's Robe,,-,Head,"Robe worn by Phia, the Deathbed Companion","Robe of black cloth that covers the entire body. Worn by Fia, the Deathbed Companion, on her journey after being exiled from her home. The fabric itself is soft as silk and thin enough that those embraced can feel every pulse; every bit of her warmth.",5.1,5.3,6.1,5.3,5.3,12.6,12.4,12.6,13.0,46,21,-,76,-,108,2,500,Purple,Yes,1940100,194,0100,15341,15341,1,20,601190,-1,-1,-1,
Fia's Robe (Altered),,-,Head,"Gown worn by Phia, the Deathbed Companion","Robe of black cloth that covers the entire body. Worn by Fia, the Deathbed Companion, on her journey after being exiled from her home. The fabric itself is soft as silk and thin enough that those embraced can feel every pulse; every bit of her warmth.",3.2,2.7,4.2,2.7,2.7,11.9,11.4,11.9,12.6,34,10,-,57,-,93,0,500,Purple,Yes,1941100,194,1100,15351,15351,1,20,601200,-1,-1,-1,
Deathbed Dress,,-,Head,"Dress worn by Phia, the Deathbed Companion","Extremely thin and sheer white dress worn by the Deathbed Companion as she embraces the dead. Slowly replenishes the HP of nearby allies, but not that of the wearer. The touch of the fabric is exceedingly soft, so as not to harm even the most withered corpse, while still sharing her warmth.",3.2,0.6,2.7,0.6,0.6,11.9,11.4,11.9,12.4,38,11,-,63,-,107,1,500,Purple,Yes,1930100,193,0100,15331,15331,1,20,601210,6193010,-1,-1,
Prophet Robe,,-,Body,Tunic of the exiled prophets,Robe of exiled prophets who foretold misfortune—and were persecuted and driven from their homes as a result. The shackles around the neck warn passersby not to lend an ear to their sermons.,6.3,6.7,6.7,6.1,6.7,13.5,12.6,13.0,13.0,46,25,-,83,-,90,3,100,Purple,Yes,622100,62,2100,13941,13941,1,20,601220,-1,-1,-1,
Prophet Robe (Altered),,-,Body,Robe of the exiled prophets,Robe of exiled prophets who foretold misfortune—and were persecuted and driven from their homes as a result. Made from rough fabric that scrapes against the skin like a sharpening file.,5.1,6.1,6.1,5.3,6.1,13.3,12.4,12.8,12.8,38,22,-,69,-,75,1,100,Purple,Yes,621100,62,1100,13931,13931,1,20,601230,-1,-1,-1,
Corhyn's Robe,,-,Body,Robe of the exiled prophets,"Robe of Corhyn the cleric. Even after exile, Corhyn refused to recant his prophecies. And for this, he was blessed with the guidance of grace. Since then, the cart wheel draped on his neck has served as a reminder. That true guidance awaits those with iron wills. Those with unwavering faith.",6.3,6.1,6.7,6.7,6.1,13.3,12.8,12.8,13.5,46,24,-,107,-,76,2,100,Purple,Yes,620100,62,0100,13921,13921,1,20,601240,-1,-1,-1,
Traveling Maiden Robe,,-,Body,Robe worn by traveling clerics,"Robe worn by traveling maidens. Maidens traversed the Lands Between for different reasons. Some to seek audience with the Fingers. Others, to find the Tarnished who they were destined to guide.",4.9,5.4,6.2,6.2,4.3,13.4,12.9,13.1,13.4,46,24,-,76,-,83,2,10,Purple,Yes,900100,90,0100,14461,14461,1,20,601250,-1,-1,-1,
Traveling Maiden Robe (Altered),,-,Body,Tunic worn by traveling clerics,"Modest garb of traveling maidens, typically worn under their robes.",4.3,4.3,5.4,5.4,2.8,13.1,12.7,12.9,13.1,38,21,-,61,-,64,1,10,Purple,Yes,901100,90,1100,14471,14471,1,20,601260,-1,-1,-1,
Finger Maiden Robe,,-,Body,Dress worn by Saints,"Robe worn by maidens who serve the Two Fingers. The maidens live to serve a chosen Tarnished, sharing their guidance and the wisdom of the Two Fingers. The guidance of grace would ensure that the pair be brought together. Or at least, such was the promise long ago.",4.6,5.8,4.7,4.7,3.2,13.8,13.1,13.3,13.8,38,21,-,63,-,63,2,500,Purple,Yes,902100,90,2100,14481,14481,1,20,601270,-1,-1,-1,
Finger Maiden Robe (Altered),,-,Body,Tunic worn by Saints,"Robe worn by maidens who serve the Two Fingers. The maidens live to serve a chosen Tarnished, sharing their guidance and the wisdom of the Two Fingers. The guidance of grace would ensure that the pair be brought together. Or at least, such was the promise long ago.",3.7,4.2,2.7,2.7,0.6,13.0,12.4,12.6,13.5,32,16,-,54,-,54,1,500,Purple,Yes,903100,90,3100,14491,14491,1,20,601280,-1,-1,-1,
Sage Robe,,-,Body,Robe of a travelling musician gripped by death,Thick burgundy robe. Attire of the wise sages who were deemed heretical. Evidence that the wearer was driven from town.,5.1,6.7,6.1,6.1,4.2,13.5,12.6,13.0,13.5,38,23,-,71,-,76,2,100,Purple,Yes,430100,43,0100,13611,13611,1,20,601290,-1,-1,-1,
Goldmask's Rags,,-,Body,Robe worn by researchers of the Golden Order,Worn rags that just barely cover the body. Lord Goldmask felt no draw to the vain excesses of clothing; what use is finery to one who seeks greater brilliance?,2.4,4.2,2.7,2.7,0.6,11.9,11.4,11.9,12.8,38,11,-,60,-,60,1,500,Purple,Yes,1040100,104,0100,14781,14781,1,20,601300,-1,-1,-1,
Perfumer Robe,,-,Body,Robe of an Erdtree Capital perfumer,"Robe of an Erdtree Capital perfumer. The thick front apron embroidered with a depiction of the Erdtree is proof of mastery of the apothecarial arts, and its weight symbolizes the onus of both pride and responsibility.",5.1,5.3,6.7,6.1,5.3,13.0,12.4,12.6,13.0,63,21,-,71,-,76,2,500,Purple,Yes,90100,9,0100,13061,13061,1,30,602000,-1,-1,-1,
Perfumer Robe (Altered),,-,Body,Tunic of an Erdtree Capital perfumer,"Robe of an Erdtree Capital perfumer. The thick front apron embroidered with a depiction of the Erdtree is proof of mastery of the apothecarial arts, and its weight symbolizes the onus of both pride and responsibility.",4.1,4.2,6.1,5.3,4.2,12.8,11.9,12.4,12.8,54,18,-,57,63,67,2,500,Purple,Yes,91100,9,1100,13065,13065,1,30,602010,-1,-1,-1,
Perfumer's Traveling Garb,,-,Body,Robe of an unaffiliated perfumer,"Garb of a traveling perfumer of no renown. The thick front apron, the badge of a perfumer, has been replaced with a more simple one made from soft leather.",5.1,6.1,6.1,5.3,4.2,13.0,13.0,12.6,13.0,57,23,-,76,-,71,2,100,Purple,Yes,100100,10,0100,13071,13071,1,30,602020,-1,-1,-1,
Perfumer's Traveling Garb (Altered),,-,Body,Tunic of an unaffiliated perfumer,"Garb of a traveling perfumer of no renown. The thick front apron, the badge of a perfumer, has been replaced with a more simple one made from soft leather.",4.1,5.3,5.3,4.2,2.7,12.8,12.8,12.4,12.8,55,21,-,67,-,63,2,100,Purple,Yes,101100,10,1100,13081,13081,1,30,602030,-1,-1,-1,
Depraved Perfumer Robe,,-,Body,Robe of a depraved perfumer gripped by madness,Robe worn by depraved perfumers. The embroidery on the apron is itself a curse upon the Erdtree. These heresy-inclined perfumers imbibe their own spices to alter body and mind. Their slow descent into self-destruction is what earned them their name.,5.0,6.0,6.0,5.2,4.1,13.2,12.7,12.5,12.7,65,22,-,55,-,80,2,500,Purple,Yes,540100,54,0100,13741,13741,1,30,602040,-1,-1,-1,
Depraved Perfumer Robe (Altered),,-,Body,Tunic of a depraved perfumer gripped by madness,Robe worn by depraved perfumers. The embroidery on the apron is itself a curse upon the Erdtree. These heresy-inclined perfumers imbibe their own spices to alter body and mind. Their slow descent into self-destruction is what earned them their name.,4.0,5.3,5.2,4.1,2.6,13.0,12.6,12.4,12.6,63,18,-,48,-,63,1,500,Purple,Yes,541100,54,1100,13751,13751,1,30,602050,-1,-1,-1,
Upper-Class Robe,,-,Body,Extravagantly embroidered noble's gown,"Embroidered, bright green robe worn by noble children. Donning such a robe is traditionally the child's first show of burgeoning independence.",4.1,4.2,6.1,6.1,2.7,12.8,11.9,12.6,13.0,38,21,-,61,-,61,1,500,Purple,Yes,962100,96,2100,14621,14621,1,30,602060,-1,-1,-1,
Ruler's Robe,,-,Body,Extravagantly embroidered noble's robe,Luxurious robe worn by lords in a smaller nation. Its fine blue mantle serves to prove its wearer's status.,5.1,5.3,6.7,6.7,4.2,13.0,12.4,12.8,13.3,46,24,-,76,-,76,2,500,Purple,Yes,961100,96,1100,14611,14611,1,30,602070,-1,-1,-1,
Consort's Robe,,-,Body,"Dress of Tanith, Lady of the Volcano Manor","Fine robe of white silk worn by Tanith, Lady of the Volcano Manor. Long ago, when Rykard first set eyes on Tanith, she was working as a dancer in a foreign land. Soon, he made her his consort. She was the only human to remain by his side when he became the serpent of blasphemy. In that moment, Tanith was truly charmed by him.",4.1,5.3,4.2,4.2,5.3,13.0,12.4,12.4,12.8,46,25,-,67,-,63,1,500,Purple,Yes,960100,96,0100,14591,14591,1,30,602080,-1,-1,-1,
Official's Attire,,-,Body,Noble's gown woven with sturdy fabric,"Grubby blue robe worn by magisterial officials to carry out their grim tasks. Surveillance, executions, gruesome rituals… The darkest duties drive the wheels of mankind.",4.1,4.2,4.2,4.2,5.3,12.8,11.9,12.4,12.8,38,22,-,61,-,64,1,500,White,Yes,964100,96,4100,14603,14603,1,30,602090,-1,-1,-1,
Marais Robe,,-,Body,Noble's cape woven with sturdy fabric,Robe with a black mantle across the shoulders. Customarily worn by the head of House Marais. The sons of House Marais are all sickly born. Little wonder that Maleigh Marais would be so beguiled by the beautiful and fierce goddess who was born into rot.,4.1,5.3,6.1,4.2,2.7,12.6,12.4,12.4,12.6,42,28,-,71,-,67,2,500,White,Yes,963100,96,3100,14601,14601,1,30,602100,-1,-1,-1,
Fur Raiment,,-,Body,Garb worn by worshippers of stag specters,"Raiment fashioned from a bristly pelt. Worn by ancestral follower warriors. The ancestral followers keep their distance from the Erdtree, awaiting new buds. They are certain to sprout from their very flesh, and indeed, their souls.",5.1,6.1,6.7,6.1,6.1,6.7,7.1,8.8,7.1,63,42,-,55,-,38,1,100,White,Yes,300100,30,0100,13421,13421,1,30,602110,-1,-1,-1,
Shaman Furs,,-,Body,%null%,"Raiment fashioned from a bristly pelt. Worn by ancestral follower shamans. The ancestral followers live a distance from the Erdtree, awaiting new buds. They are certain to sprout from their very flesh, and indeed, their souls.",5.1,5.3,6.1,5.3,8.0,8.0,7.1,8.0,6.7,63,42,-,55,-,35,2,100,White,Yes,301100,30,1100,13426,13426,1,30,602120,-1,-1,-1,
Godskin Apostle Robe,,-,Body,Robe made from tanned Demigod skin,"Robe made by sewing together patches of smooth skin. Worn by the Godskin Apostles. The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame. But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.",4.1,6.1,5.3,5.3,2.7,12.6,11.9,12.4,13.8,42,21,-,67,-,63,2,1000,White,Yes,520100,52,0100,13721,13721,1,30,602130,-1,-1,-1,
Godskin Noble Robe,,-,Body,Robe made from tanned corpulent Demigod skin,"Robe made by sewing together patches of smooth skin. Subcutaneous fat makes it plump and soft. Worn by Godskin Nobles, known for their seven-face aprons. Strengthens the Noble Presence incantation. Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unlike the crucible, the Erdtree in its primordial form.",6.3,6.1,9.5,6.7,6.1,13.0,12.4,12.6,14.1,46,25,-,76,-,83,5,1000,White,Yes,530100,53,0100,13731,13731,1,30,602140,6053010,-1,-1,
Fell Omen Cloak,,-,Body,"Robe worn by Morgott, the Elden Lord","A cloak of ragged fur worn about the exposed body of Margit, the Fell Omen. Having slaughtered countless champions during the Shattering, the Fell Omen has become a horror to those who harbor ambitions for the Erdtree, or for Lordship.",5.1,6.1,6.7,6.7,6.1,13.0,12.4,12.6,12.8,42,25,-,71,-,83,2,2000,White,Yes,1050100,105,0100,14791,14791,1,30,602150,-1,-1,-1,
